"1",1996-07-01,"75","64","53","61","57","50","94","82","57","29.74","29.63","29.56","6","5","4","27","6","34","0.00","7","Rain-Thunderstorm","163<br />","Moscow (RUS)","Summer"
"2",1996-07-02,"71","61","51","55","53","50","100","78","50","29.80","29.73","29.65","6","6","6","18","9","22","0.00","6","","211<br />","Moscow (RUS)","Summer"
"3",1996-07-03,"71","62","53","66","54","50","94","77","53","29.89","29.86","29.80","6","6","6","13","8","","0.00","6","","211<br />","Moscow (RUS)","Summer"
"4",1996-07-04,"68","62","55","55","53","48","100","75","49","30.04","29.93","29.86","6","6","6","13","6","","0.00","6","Rain","280<br />","Moscow (RUS)","Summer"
"5",1996-07-05,"73","60","48","52","49","45","93","63","43","30.09","30.05","29.98","","","","11","6","16","0.00","","","244<br />","Moscow (RUS)","Summer"
"6",1996-07-06,"78","68","57","59","56","52","88","65","50","29.98","29.94","29.83","","","","13","7","","0.00","","","189<br />","Moscow (RUS)","Summer"
"7",1996-07-07,"80","70","59","63","59","54","82","65","51","29.86","29.84","29.80","6","6","6","16","8","","0.00","6","","168<br />","Moscow (RUS)","Summer"
"8",1996-07-08,"73","68","64","68","64","61","94","84","73","29.95","29.91","29.86","6","6","6","11","4","","0.00","6","Rain-Thunderstorm","12<br />","Moscow (RUS)","Summer"
"9",1996-07-09,"87","74","60","73","67","50","100","77","44","30.24","30.00","29.95","4","1","0","11","5","","0.00","2","Fog","115<br />","Moscow (RUS)","Summer"
"10",1996-07-10,"93","81","69","70","63","57","94","56","31","30.04","30.02","30.01","4","4","4","18","8","27","0.00","1","","131<br />","Moscow (RUS)","Summer"
"11",1996-07-11,"95","82","68","66","63","59","78","54","32","30.01","30.00","29.71","","","","16","8","","0.00","","","125<br />","Moscow (RUS)","Summer"
"12",1996-07-12,"93","82","71","70","67","64","88","59","41","30.04","30.01","29.95","","","","13","8","22","0.00","","","105<br />","Moscow (RUS)","Summer"
"13",1996-07-13,"77","72","66","68","65","61","88","75","65","30.04","29.98","29.92","6","6","6","13","7","","0.00","7","Rain","185<br />","Moscow (RUS)","Summer"
"14",1996-07-14,"73","65","57","63","56","50","94","69","44","30.04","30.01","29.92","","","","22","9","","0.00","","","236<br />","Moscow (RUS)","Summer"
"15",1996-07-15,"71","66","60","57","52","50","82","63","46","29.92","29.84","29.80","6","6","4","20","12","22","0.00","6","","233<br />","Moscow (RUS)","Summer"
"16",1996-07-16,"73","62","51","55","52","48","94","70","50","29.80","29.78","29.77","6","6","6","11","7","20","0.00","5","","250<br />","Moscow (RUS)","Summer"
"17",1996-07-17,"69","60","51","54","50","48","94","69","49","29.77","29.73","29.71","6","6","6","13","5","","0.00","5","","299<br />","Moscow (RUS)","Summer"
"18",1996-07-18,"66","58","50","54","49","45","94","71","49","29.95","29.82","29.74","6","6","6","18","7","","0.00","4","Rain","281<br />","Moscow (RUS)","Summer"
"19",1996-07-19,"69","56","44","52","47","43","93","68","43","30.04","30.02","29.95","6","6","4","11","4","","0.00","6","","293<br />","Moscow (RUS)","Summer"
"20",1996-07-20,"66","58","51","57","53","48","94","80","68","30.06","30.04","29.98","6","6","6","16","7","","0.00","6","Rain","42<br />","Moscow (RUS)","Summer"
"21",1996-07-21,"66","60","55","59","54","48","100","83","59","30.04","29.80","29.71","6","6","4","20","11","22","0.00","6","Rain-Thunderstorm","74<br />","Moscow (RUS)","Summer"
"22",1996-07-22,"57","55","53","55","53","52","100","93","82","29.74","29.74","29.71","6","6","3","13","7","20","0.00","7","Rain","195<br />","Moscow (RUS)","Summer"
"23",1996-07-23,"60","56","51","54","52","48","100","87","67","29.80","29.78","29.74","6","6","3","13","9","","0.00","7","Rain","270<br />","Moscow (RUS)","Summer"
"24",1996-07-24,"60","56","53","57","54","52","100","90","77","29.77","29.72","29.68","6","6","4","18","8","","0.00","6","Rain","268<br />","Moscow (RUS)","Summer"
"25",1996-07-25,"69","60","50","57","53","48","94","84","53","29.74","29.71","29.68","6","6","6","18","10","","0.00","6","Rain-Thunderstorm","239<br />","Moscow (RUS)","Summer"
"26",1996-07-26,"77","64","51","59","55","50","100","74","50","29.86","29.78","29.71","","","","18","10","","0.00","","","235<br />","Moscow (RUS)","Summer"
"27",1996-07-27,"73","65","57","61","57","54","94","74","57","29.92","29.87","29.56","6","6","6","13","5","","0.00","6","Fog","202<br />","Moscow (RUS)","Summer"
"28",1996-07-28,"77","66","55","63","58","52","94","79","53","29.86","29.85","29.83","6","6","6","11","4","","0.00","5","Rain-Thunderstorm","242<br />","Moscow (RUS)","Summer"
"29",1996-07-29,"73","66","59","61","59","57","100","80","57","29.92","29.89","29.86","6","6","4","11","6","","0.00","5","Rain","255<br />","Moscow (RUS)","Summer"
"30",1996-07-30,"75","64","53","59","54","48","94","67","38","29.98","29.93","29.89","","","","11","5","","0.00","","","204<br />","Moscow (RUS)","Summer"
"31",1996-07-31,"73","66","60","64","61","57","100","85","69","29.89","29.81","29.68","6","5","3","18","7","","0.00","7","Rain","183<br />","Moscow (RUS)","Summer"
"32",1996-08-01,"73","64","55","66","58","50","100","83","53","30.04","29.98","29.80","6","6","4","11","7","","0.00","4","Rain","252<br />","Moscow (RUS)","Summer"
"33",1996-08-02,"73","63","53","59","56","52","100","76","53","30.12","30.10","30.04","6","3","0","11","6","","0.00","4","Fog-Rain","285<br />","Moscow (RUS)","Summer"
"34",1996-08-03,"75","65","55","66","59","52","94","82","68","30.12","30.05","30.01","6","6","4","16","5","","0.00","5","Fog-Rain-Thunderstorm","212<br />","Moscow (RUS)","Summer"
"35",1996-08-04,"71","66","60","64","58","46","100","79","43","30.09","30.03","29.98","6","5","3","11","7","","0.00","7","Rain","274<br />","Moscow (RUS)","Summer"
"36",1996-08-05,"71","61","51","55","53","50","94","73","50","30.12","30.10","30.06","6","6","6","11","5","","0.00","4","","339<br />","Moscow (RUS)","Summer"
"37",1996-08-06,"69","60","51","54","52","48","94","75","49","30.18","30.16","30.12","6","6","6","16","7","","0.00","3","","10<br />","Moscow (RUS)","Summer"
"38",1996-08-07,"57","54","50","54","46","39","88","75","54","30.27","30.24","30.18","6","6","6","18","12","","0.00","6","","30<br />","Moscow (RUS)","Summer"
"39",1996-08-08,"66","55","44","52","47","43","93","75","55","30.24","30.20","30.12","6","6","6","13","7","","0.00","3","Fog","2<br />","Moscow (RUS)","Summer"
"40",1996-08-09,"60","55","50","52","48","43","100","78","52","30.24","30.17","30.12","6","6","6","13","9","","0.00","5","","6<br />","Moscow (RUS)","Summer"
"41",1996-08-10,"68","56","44","52","47","43","93","72","46","30.27","30.24","30.21","","","","11","5","","0.00","","","332<br />","Moscow (RUS)","Summer"
"42",1996-08-11,"73","62","51","57","52","46","88","74","47","30.24","30.22","30.21","6","6","6","16","5","","0.00","6","Rain","310<br />","Moscow (RUS)","Summer"
"43",1996-08-12,"75","62","48","55","51","46","94","72","43","30.30","30.26","30.24","6","6","5","11","3","","0.00","3","Fog-Thunderstorm","319<br />","Moscow (RUS)","Summer"
"44",1996-08-13,"73","62","51","59","54","50","94","78","47","30.30","30.27","30.24","6","6","4","13","4","","0.00","5","Rain","354<br />","Moscow (RUS)","Summer"
"45",1996-08-14,"71","60","50","57","52","48","100","74","46","30.33","30.31","30.15","6","5","1","9","4","","0.00","1","Fog","43<br />","Moscow (RUS)","Summer"
"46",1996-08-15,"75","62","48","55","50","46","94","67","38","30.30","30.27","30.21","6","6","6","9","3","","0.00","1","Fog","139<br />","Moscow (RUS)","Summer"
"47",1996-08-16,"78","64","51","55","52","48","94","65","39","30.24","30.22","29.89","6","4","4","11","3","","0.00","3","Fog","200<br />","Moscow (RUS)","Summer"
"48",1996-08-17,"80","66","51","57","53","48","88","65","39","30.30","30.26","30.24","4","4","3","7","2","","0.00","2","Fog","210<br />","Moscow (RUS)","Summer"
"49",1996-08-18,"80","68","55","59","55","52","94","65","37","30.30","30.27","30.24","6","4","4","9","2","","0.00","0","","281<br />","Moscow (RUS)","Summer"
"50",1996-08-19,"82","68","53","57","54","50","88","64","35","30.24","30.22","30.18","","","","9","2","","0.00","","","269<br />","Moscow (RUS)","Summer"
"51",1996-08-20,"80","66","53","59","55","52","94","66","39","30.18","30.17","30.12","4","3","2","11","2","","0.00","1","Fog","324<br />","Moscow (RUS)","Summer"
"52",1996-08-21,"80","68","55","61","56","52","94","68","39","30.21","30.17","30.12","6","5","4","7","1","","0.00","1","Fog","75<br />","Moscow (RUS)","Summer"
